text 11	Distigmine	distigmine	[distig][mine]	N(soort,ev,basis,zijd,stan)	0.669745	O	B-NP	2	su
1	1	1	[1]	TW(hoofd,vrij)	0.698220	O	B-NP		
2	Distigmine	distigmine	[distig][mine]	N(soort,ev,basis,zijd,stan)	0.392469	O	B-NP		
3	distigmine	distigmine	[distig][mine]	N(soort,ev,basis,zijd,stan)	0.783952	O	B-VP		
4	[	[	[[]	LET()	1.000000	O	O		
5	distig	distig	[dist][ig]	ADJ(vrij,basis,zonder)	0.695382	O	B-NP		
6	]	]	[]]	LET()	1.000000	O	O		
7	[	[	[[]	LET()	1.000000	O	O		
8	mine	mine	[mine]	N(soort,ev,basis,zijd,stan)	0.899441	O	B-NP		
9	]	]	[]]	LET()	1.000000	O	B-NP		
10	N	n	[n]	N(soort,ev,basis,zijd,stan)	0.666667	B-MISC	I-NP		
11	(	(	[(]	LET()	1.000000	O	O		
12	soort	soort	[soort]	N(soort,ev,basis,genus,stan)	0.600000	O	B-NP		
13	,	,	[,]	LET()	1.000000	O	O		
14	ev	ev	[ev]	SPEC(deeleigen)	1.000000	O	B-NP		
15	,	,	[,]	LET()	1.000000	O	O		
16	basis	basis	[basis]	N(soort,ev,basis,zijd,stan)	0.999633	O	B-NP		
17	,	,	[,]	LET()	1.000000	O	O		
18	zijd	zijd	[zijd]	BW()	0.500000	O	B-NP		
19	,	,	[,]	LET()	1.000000	O	O		
20	stan	stan	[stan]	SPEC(deeleigen)	1.000000	O	B-NP		
21	)	)	[)]	LET()	1.000000	O	O		
22	0.669745	0.669745	[0.669745]	SPEC(symb)	1.000000	O	B-NP		
23	O	o	[o]	N(soort,ev,basis,zijd,stan)	0.429268	O	I-NP		
24	B-NP	B-NP	[B-NP]	SPEC(deeleigen)	1.000000	B-MISC	I-NP		
25	2	2	[2]	TW(hoofd,vrij)	0.582751	O	I-NP		
26	su	su	[su]	N(soort,ev,basis,zijd,stan)	0.347838	O	I-NP		

text 22	bromide	bromide	[bromide]	WW(pv,verl,ev)	0.843881	O	B-VP	0	ROOT
1	2	2	[2]	TW(hoofd,vrij)	0.582751	O	B-NP		
2	bromide	bromide	[bromide]	WW(pv,verl,ev)	0.849830	O	I-NP		
3	bromide	bromide	[bromide]	WW(pv,verl,ev)	0.679934	O	I-NP		
4	[	[	[[]	LET()	1.000000	O	O		
5	bromide	bromide	[bromide]	N(soort,ev,basis,zijd,stan)	0.447811	O	B-NP		
6	]	]	[]]	LET()	1.000000	O	O		
7	WW	WW	[WW]	SPEC(deeleigen)	1.000000	B-MISC	B-NP		
8	(	(	[(]	LET()	1.000000	O	O		
9	pv	pv	[pv]	N(soort,ev,basis,zijd,stan)	0.743247	O	B-NP		
10	,	,	[,]	LET()	1.000000	O	O		
11	verl	verl	[verl]	N(soort,ev,basis,onz,stan)	0.662025	O	B-NP		
12	,	,	[,]	LET()	1.000000	O	O		
13	ev	ev	[ev]	SPEC(deeleigen)	1.000000	O	B-NP		
14	)	)	[)]	LET()	1.000000	O	O		
15	0.843881	0.843881	[0.843881]	TW(hoofd,prenom,stan)	0.558183	O	B-NP		
16	O	o	[o]	N(soort,ev,basis,zijd,stan)	0.429268	O	I-NP		
17	B-VP	B-VP	[B-VP]	SPEC(deeleigen)	1.000000	B-MISC	I-NP		
18	0	0	[0]	TW(hoofd,vrij)	0.993492	O	B-NP		
19	ROOT	root	[root]	N(soort,ev,basis,zijd,stan)	0.494754	B-MISC	I-NP		

text 33	5mg	5mg	[5mg]	SPEC(symb)	1.000000	O	B-NP	4	mod
1	3	3	[3]	TW(hoofd,vrij)	0.582751	O	B-NP		
2	5mg	5mg	[5mg]	SPEC(symb)	1.000000	O	I-NP		
3	5mg	5mg	[5mg]	SPEC(symb)	1.000000	O	I-NP		
4	[	[	[[]	LET()	1.000000	O	O		
5	5mg	5mg	[5mg]	SPEC(symb)	1.000000	O	B-NP		
6	]	]	[]]	LET()	1.000000	O	B-NP		
7	SPEC(symb)	SPEC(symb)	[SPEC(symb)]	SPEC(deeleigen)	1.000000	B-PRO	B-NP		
8	1.000000	1.000000	[1.000000]	TW(hoofd,vrij)	0.391838	I-PRO	B-NP		
9	O	o	[o]	N(soort,ev,basis,zijd,stan)	0.429268	I-PRO	I-NP		
10	B-NP	B-NP	[B-NP]	SPEC(deeleigen)	1.000000	I-PRO	I-NP		
